Symbol
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
AVGO
COST
NFLX
AMD
INTC
QCOM
TXN
AMAT
MU
ADBE
CRM
ORCL
CSCO
INTU
PYPL
MRVL
LRCX
KLAC
ADI
NXPI
PANW
FTNT
SNPS
CDNS
MCHP
ABNB
BKNG
PDD
SBUX
REGN
VRTX
AMGN
GILD
CSX
MDLZ
PEP
KDP
MAR
IDXX
CHTR
CSGP
CRWD
DDOG
